W04_L07	7	Smoothing Methods Part 2	07_lesson-4-7-smoothing-methods-part-2
W04_L07	308	Smoothing Methods Part 2	07_lesson-4-7-smoothing-methods-part-2
W04_L07	581	Smoothing Methods Part 2	07_lesson-4-7-smoothing-methods-part-2
W04_L07	685	Smoothing Methods Part 2	07_lesson-4-7-smoothing-methods-part-2
W04_L04	0	Statistical Language Model Part 1	04_lesson-4-4-statistical-language-model-part-1
W04_L04	7	Statistical Language Model Part 1	04_lesson-4-4-statistical-language-model-part-1
W04_L04	23	Statistical Language Model Part 1	04_lesson-4-4-statistical-language-model-part-1
W04_L04	70	Statistical Language Model Part 1	04_lesson-4-4-statistical-language-model-part-1
W04_L04	279	Statistical Language Model Part 1	04_lesson-4-4-statistical-language-model-part-1
W04_L04	389	Statistical Language Model Part 1	04_lesson-4-4-statistical-language-model-part-1
W04_L06	7	Smoothing Methods Part 1	06_lesson-4-6-smoothing-methods-part-1
W04_L06	32	Smoothing Methods Part 1	06_lesson-4-6-smoothing-methods-part-1
W04_L06	108	Smoothing Methods Part 1	06_lesson-4-6-smoothing-methods-part-1
W04_L06	283	Smoothing Methods Part 1	06_lesson-4-6-smoothing-methods-part-1
W04_L06	583	Smoothing Methods Part 1	06_lesson-4-6-smoothing-methods-part-1
W04_L05	7	Statistical Language Model Part 2	05_lesson-4-5-statistical-language-model-part-2
W04_L05	13	Statistical Language Model Part 2	05_lesson-4-5-statistical-language-model-part-2
W04_L05	461	Statistical Language Model Part 2	05_lesson-4-5-statistical-language-model-part-2
W04_L03	6	Query Likelihood Retrieval Function	03_lesson-4-3-query-likelihood-retrieval-function
W04_L03	12	Query Likelihood Retrieval Function	03_lesson-4-3-query-likelihood-retrieval-function
W04_L03	24	Query Likelihood Retrieval Function	03_lesson-4-3-query-likelihood-retrieval-function
W04_L03	140	Query Likelihood Retrieval Function	03_lesson-4-3-query-likelihood-retrieval-function
W04_L03	211	Query Likelihood Retrieval Function	03_lesson-4-3-query-likelihood-retrieval-function
W04_L03	397	Query Likelihood Retrieval Function	03_lesson-4-3-query-likelihood-retrieval-function
W04_L03	475	Query Likelihood Retrieval Function	03_lesson-4-3-query-likelihood-retrieval-function
W04_L03	521	Query Likelihood Retrieval Function	03_lesson-4-3-query-likelihood-retrieval-function
W04_L02	7	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L02	11	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L02	30	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L02	46	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L02	152	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L02	241	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L02	376	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L02	501	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L02	683	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L02	828	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L02	1007	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L02	1042	Statistical Language Model	02_lesson-4-2-statistical-language-model
W04_L01	0	Probabilistic Retrieval Model Basic Idea	01_lesson-4-1-probabilistic-retrieval-model-basic-idea
